anyo,siniestros,fallecidos,graves,menos_graves,leves,total_lesionados,total_victimas,tasa_motorizacion,parque_vehicular,poblacion
1972,26727,1792,6590,5624,11027,23241,25033,24,7,401114,9907065
1973,23480,1719,6020,5153,10079,21252,22971,24,1,417767,10075782
1974,18356,1269,4935,3763,7938,16636,17905,23,8,431172,10244501
1975,16602,1054,4208,3479,7142,14829,15883,23,4,445693,10413219
1976,17716,1079,4322,3456,7355,15133,16212,22,7,466049,10565409
1977,19638,1071,4566,4125,7961,16652,17723,20,8,514180,10717600
1978,19623,1207,5397,4316,9424,19137,20344,18,4,589788,10869791
1979,21506,1309,5961,5397,10386,21744,23053,18,1,608630,11021982
1980,25606,1434,6287,5925,11993,24205,25639,14,0,797180,11174173
1981,33536,1552,6895,6927,15031,28853,30405,13,2,863038,11359773
1982,55272,1274,7532,8579,17870,33981,35255,12,6,912749,11545372
1983,47889,1363,7338,7506,16338,31182,32545,12,8,916360,11730972
1984,39207,1210,7128,7352,15351,29831,31041,12,8,930457,11916572
1985,30751,1049,4421,4106,11767,20294,21343,12,8,944564,12102174
1986,35268,1191,4794,4832,14359,23985,25176,12,8,962564,12317494
1987,32790,1198,4990,4946,14735,24671,25869,12,9,972042,12532815
1988,34226,1248,5564,5147,16547,27258,28506,12,9,985843,12748135
1989,37217,1465,6217,5768,19439,31424,32889,12,7,1018255,12963457
1990,39479,1587,6788,6326,21391,34505,36092,12,3,1074228,13178782
1991,40368,1602,7295,6461,22618,36374,37976,11,4,1174194,13422010
1992,43402,1700,7983,7215,25145,40343,42043,10,1,1356503,13665241
1993,44837,1760,8298,7151,26334,41783,43543,9,4,1476128,13908473
1994,44236,1762,8231,7207,26208,41646,43408,9,4,1508957,14151708
1995,50790,1890,8830,8017,28982,45829,47719,8,6,1678675,14394940
1996,57775,1925,9615,8508,32436,50559,52484,8,0,1826137,14595504
1997,52394,1883,9510,8601,32546,50657,52540,7,4,1988647,14796076
1998,49890,1959,9327,8243,34620,52190,54149,7,4,2024510,14996647
1999,47052,1655,8531,7582,34398,50511,52166,7,1,2145437,15197213
2000,40926,1698,8090,6929,31639,46658,48356,7,2,2128855,15397784
2001,44831,1562,7329,6567,31448,45344,46906,7,2,2176501,15571679
2002,41734,1549,7317,6284,30521,44122,45671,7,1,2218062,15668271
2003,44450,1703,7497,5772,32066,45335,47038,7,2,2195878,15837836
2004,46620,1757,7166,5332,34012,46510,48267,7,0,2298620,16001669
2005,46328,1626,6844,4878,36070,47792,49418,6,9,2351662,16165316
2006,44839,1652,6515,4490,36020,47025,48677,6,1,2657892,16332171
2007,53682,1645,7374,4977,41659,54010,55655,5,8,2824570,16504869
2008,57087,1782,7488,5119,42679,55286,57068,5,5,3023050,16686853
2009,56330,1508,6748,4377,41050,52175,53683,5,4,3139088,16876767
2010,57746,1595,6899,4321,41744,52964,54559,5,1,3375523,17066142
2011,62834,1573,6724,4454,43034,54212,55785,4,7,3654727,17255527
2012,61791,1523,6570,3920,42735,53225,54748,4,4,3973913,17444799
2013,73276,1623,7430,4416,47746,59592,61215,4,1,4263084,17631579
2014,78445,1630,7457,4012,46416,57885,59515,3,9,4568664,17819054
2015,79880,1646,7773,3791,46381,57945,59591,3,8,4751130,18006407
2016,91711,1675,8830,4344,50389,63563,65238,3,7,4960945,18191884
2017,94879,1483,8534,4201,49436,62171,63654,3,5,5190704,18373917
2018,89311,1507,7859,4092,45988,57939,59446,3,4,5498895,18552218
2019,89983,1617,7752,4065,45932,57749,59366,3,3,5718409,19107216